front_name,front,back_name,back
English,I didn’t buy much,Japanese,あまり買いませんでした
English,As for clothes, I don’t want much,Japanese,服はあまり欲しくありません
English,As for clothes, I didn’t buy anything,Japanese,服は何も買いませんでした
English,I did some shopping,Japanese,買い物をしました
English,I did a lot of shopping,Japanese,たくさん買い物をしました
English,As for tomorrow morning, I don’t have much time,Japanese,明日の朝はあまり時間がありません
English,As for the afternoon, what did you do?,Japanese,午後は何をしましたか
English,As for the afternoon, what did you do?,Japanese,午後は何をしましたか
English,I’m going to stay here another week,Japanese,もう一週間ここにいます。
English,No, not yet. (formal),Japanese,いいえ、まだです。
English,I had lunch there yesterday,Japanese,昨日そこで昼ご飯を食べました。

